YDH,PowerDen
1307118,0.6529055
1307119,0.5760204
1307120,0.454248
1307121,0.293975
1307122,0.1223469
1307123,0
1307200,0
1307201,0
1307202,0
1307203,0
1307204,0
1307205,0
1307206,0
1307207,0
1307208,0
1307209,0
1307210,0
1307211,0
1307212,0.0731
1307213,0.2557969
1307214,0.4165
1307215,0.5466563
1307216,0.6309208
1307217,0.6638994
1307218,0.6439514
1307219,0.5697024
1307220,0.4464662
1307221,0.290851
1307222,0.07129375
1307223,0
1307300,0
1307301,0
1307302,0
1307303,0
1307304,0
1307305,0
1307306,0
1307307,0
1307308,0
1307309,0
1307310,0
1307311,0
1307312,0.07915625
1307313,0.2666875
1307314,0.4383875
1307315,0.5711468
1307316,0.6454688
1307317,0.461125
1307318,0.6361251
1307319,0.5601286
1307320,0.42889
1307321,0.2595688
1307322,0.076925
1307323,0
1307400,0
1307401,0
1307402,0
1307403,0
1307404,0
1307405,0
1307406,0
1307407,0
1307408,0
1307409,0
1307410,0
1307411,0
1307412,0.1067813
1307413,0.2895313
1307414,0.4528375
1307415,0.5763531
1307416,0.6483907
1307417,0.6673563
1307418,0.6125686
1307419,0.3551669
1307420,0.1070495
1307421,0.0355288
1307422,0.0023375
1307423,0
1307500,0
1307501,0
1307502,0
1307503,0
1307504,0
1307505,0
1307506,0
1307507,0
1307508,0
1307509,0
1307510,0
1307511,0
1307512,0.1072063
1307513,0.2819344
1307514,0.4140562
1307515,0.3333594
1307516,0.3393094
1307517,0.7707975
1307518,0.2521644
1307519,0.2712136
1307520,0.1407375
1307521,0.07745625
1307522,0.002921875
1307523,0
1307600,0
1307601,0
1307602,0
1307603,0
1307604,0
1307605,0
1307606,0
1307607,0
1307608,0
1307609,0
1307610,0
1307611,0
1307612,0.114325
1307613,0.2978719
1307614,0.3668813
1307615,0.4155438
1307616,0.5422469
1307617,0.6002443
1307618,0.5230061
1307619,0.5093092
1307620,0.2545803
1307621,0.1099156
1307622,0.029325
1307623,0
1307700,0
1307701,0
1307702,0
1307703,0
1307704,0
1307705,0
1307706,0
1307707,0
1307708,0
1307709,0
1307710,0
1307711,0
1307712,0.02151562
1307713,0.1009906
1307714,0.2322625
1307715,0.456875
1307716,0.6031281
1307717,0.4050781
1307718,0.2036321
1307719,0.1069441
1307720,0.0338311
1307721,0.008128125
1307722,0
1307723,0
1307800,0
1307801,0
1307802,0
1307803,0
1307804,0
1307805,0
